file,dataset,ver,mode,method,seed,idx,run_tag,aug_ratio,aug_bound,degree_thr,restricted,alpha,gamma,E0,total_added_edges,final_global_used_adds,add_ratio_of_E0,epochs_with_add
logs/1029/LastFMAsia_aron_desc_inter_r10.00_fmr0.50_d0.80_gmm_seed3_idx3_a0.75_g0.90_rstr_ts080706_16222_21099.log,LastFMAsia,aron_desc_inter,inter,gmm,3,3,,10.0,0.5,0.8,1,0.75,0.9,,0,0,,0
logs/1029/LastFMAsia_aron_desc_inter_r10.00_fmr0.50_d0.80_gmm_seed3_idx3_a0.80_g1.00_rstr_ts075719_16222_19368.log,LastFMAsia,aron_desc_inter,inter,gmm,3,3,,10.0,0.5,0.8,1,0.8,1.0,,0,0,,0
logs/1029/LastFMAsia_aron_desc_inter_r10.00_fmr0.50_d0.80_gmm_seed3_idx3_a0.90_g0.95_rstr_ts081650_16222_6344.log,LastFMAsia,aron_desc_inter,inter,gmm,3,3,,10.0,0.5,0.8,1,0.9,0.95,,0,0,,0
logs/1029/LastFMAsia_aron_desc_inter_r10.00_fmr0.50_d0.80_gmm_seed4_idx4_a0.75_g0.90_rstr_ts083627_16222_8204.log,LastFMAsia,aron_desc_inter,inter,gmm,4,4,,10.0,0.5,0.8,1,0.75,0.9,,0,0,,0
logs/1029/LastFMAsia_aron_desc_inter_r10.00_fmr0.50_d0.80_gmm_seed4_idx4_a0.80_g1.00_rstr_ts082636_16222_24322.log,LastFMAsia,aron_desc_inter,inter,gmm,4,4,,10.0,0.5,0.8,1,0.8,1.0,,0,0,,0
logs/1029/LastFMAsia_aron_desc_inter_r10.00_fmr0.50_d0.80_gmm_seed4_idx4_a0.90_g0.95_rstr_ts084613_16222_22517.log,LastFMAsia,aron_desc_inter,inter,gmm,4,4,,10.0,0.5,0.8,1,0.9,0.95,,0,0,,0
logs/1029/LastFMAsia_aron_desc_inter_r10.00_fmr0.50_d0.80_gmm_seed5_idx5_a0.75_g0.90_rstr_ts090547_16222_9959.log,LastFMAsia,aron_desc_inter,inter,gmm,5,5,,10.0,0.5,0.8,1,0.75,0.9,,0,0,,0
logs/1029/LastFMAsia_aron_desc_inter_r10.00_fmr0.50_d0.80_gmm_seed5_idx5_a0.80_g1.00_rstr_ts085601_16222_11984.log,LastFMAsia,aron_desc_inter,inter,gmm,5,5,,10.0,0.5,0.8,1,0.8,1.0,,0,0,,0
logs/1029/LastFMAsia_aron_desc_inter_r10.00_fmr0.50_d0.80_gmm_seed5_idx5_a0.90_g0.95_rstr_ts091528_16222_9552.log,LastFMAsia,aron_desc_inter,inter,gmm,5,5,,10.0,0.5,0.8,1,0.9,0.95,,0,0,,0
logs/1029/LastFMAsia_aron_desc_inter_r10.00_fmr0.50_d0.80_gmm_seed6_idx6_a0.75_g0.90_rstr_ts093502_16222_14691.log,LastFMAsia,aron_desc_inter,inter,gmm,6,6,,10.0,0.5,0.8,1,0.75,0.9,,0,0,,0
logs/1029/LastFMAsia_aron_desc_inter_r10.00_fmr0.50_d0.80_gmm_seed6_idx6_a0.80_g1.00_rstr_ts092513_16222_27158.log,LastFMAsia,aron_desc_inter,inter,gmm,6,6,,10.0,0.5,0.8,1,0.8,1.0,,0,0,,0
logs/1029/LastFMAsia_aron_desc_inter_r10.00_fmr0.50_d0.80_gmm_seed6_idx6_a0.90_g0.95_rstr_ts094447_16222_15522.log,LastFMAsia,aron_desc_inter,inter,gmm,6,6,,10.0,0.5,0.8,1,0.9,0.95,,0,0,,0
logs/1029/LastFMAsia_aron_desc_inter_r10.00_fmr0.50_d0.80_gmm_seed7_idx7_a0.75_g0.90_rstr_ts100423_16222_19554.log,LastFMAsia,aron_desc_inter,inter,gmm,7,7,,10.0,0.5,0.8,1,0.75,0.9,,0,0,,0
logs/1029/LastFMAsia_aron_desc_inter_r10.00_fmr0.50_d0.80_gmm_seed7_idx7_a0.80_g1.00_rstr_ts095432_16222_19059.log,LastFMAsia,aron_desc_inter,inter,gmm,7,7,,10.0,0.5,0.8,1,0.8,1.0,,0,0,,0
logs/1029/LastFMAsia_aron_desc_inter_r10.00_fmr0.50_d0.80_gmm_seed7_idx7_a0.90_g0.95_rstr_ts101408_16222_13467.log,LastFMAsia,aron_desc_inter,inter,gmm,7,7,,10.0,0.5,0.8,1,0.9,0.95,,0,0,,0
